Autor;País;Nacimiento;Defunción;Cuentos
Alarcón, Pedro Antonio de;España;1833;1891;El extranjero, El sombrero de tres picos
Alas, Leopoldo (Clarín);España;1852;1901;¡Adiós, Cordera!, Benedictino, Dos sabios, El dúo de la tos, El entierro de la sardina, El gallo de Sócrates, En el tren, En la droguería, La conversión de Chiripa, La yernocracia, Tirso de Molina, Un voto
Aldecoa, Ignacio;España;1925;1969;El fantasma de Treviño, El loro antillano, Epitafio de un boxeador, Hasta que lleguen las doce, La despedida, Seguir de pobres, Un cuento de reyes, Un hombrecillo que nació para actor
Alegría, Ciro;Perú;1909;1967;De cómo repartió el diablo los males por el mundo, El barco fantasma, El puma de sombra, La sirena del bosque, Muerte del cabo Cheo López, Navidad en los Andes, Panki y el guerrero
Alonso, Manuel A.;Puerto Rico;1822;1889;1833-1883, Agapito Avellaneda, El jíbaro en la capital, El pájaro malo, El sueño de mi compadre, La gallera, La linterna mágica, La negrita y la vaquita, Perico Paciencia
Anderson Imbert, Enrique;Argentina;1910;2000;Alas, Aquiles y la tortuga, Arte y vida, Cuerno y marfil, El beso, El diluvio, El fantasma, El ganador, El leve Pedro, El suicida, Espiral, Jasón, La cueva de Montesinos, La fama, La foto, La montaña, La muerte, La pierna dormida, Las estatuas, Las manos, Las últimas miradas, Licantropía, Sadismo y masoquismo, Sententia Nominum, Tabú, Teologías y demonologías, Una plaza en el cielo, Vudú
Arenal, Humberto;Cuba;1926;2012;El caballero Charles, La vuelta en redondo
Arévalo Martínez, Rafael;Guatemala;1884;1975;El hechizado, La signatura de la esfinge
Arguedas, José María;Perú;1911;1969;El barranco, El joven que subió al cielo, La muerte de los Arango
Arlt, Roberto;Argentina;1900;1942;Accidentado paseo a Moka, Acuérdate de Azerbaijan, Ejercicio de artillería, El cazador de orquídeas, El gato cocido, El hombre del turbante verde, El jorobadito, Extraordinaria historia de dos tuertos, Halid Majid el achicharrado, Historia del señor Jefries y Nassin el Egipcio, La aventura de Baba en Dimisch esh Sham, La cadena del ancla, La doble trampa mortal, La factoría de Farjalla Bill Alí, La luna roja, La ola de perfume verde, La pista de los dientes de oro, Las fieras, Los bandidos de Uad Djuari, Los cazadores de marfil, Los hombres fieras, Odio desde la otra vida, Rahutia la bailarina, Ven, mi ama Zobeida quiere hablarte
