Título;Autor;Año;MTLD;Palabras;TTR
El extranjero;Alarcón, Pedro Antonio de;1854;105,189019; 3232;0,3771658
El sombrero de tres picos;Alarcón, Pedro Antonio de;1874; 97,773058;25042;0,2140005
¡Adiós, Cordera!;Alas, Leopoldo (Clarín);1893; 96,334558; 3482;0,3684664
Benedictino;Alas, Leopoldo (Clarín);1901;114,589695; 4053;0,3626943
Dos sabios;Alas, Leopoldo (Clarín);1901; 92,436660; 2988;0,3805221
El dúo de la tos;Alas, Leopoldo (Clarín);1896; 95,017283; 2298;0,3925152
El entierro de la sardina;Alas, Leopoldo (Clarín);NA;108,545720; 3482;0,3900057
El gallo de Sócrates;Alas, Leopoldo (Clarín);1901; 93,669587; 1592;0,4384422
En el tren;Alas, Leopoldo (Clarín);1901; 93,249048;  930;0,4924731
En la droguería;Alas, Leopoldo (Clarín);1901; 99,615530; 1909;0,4248298
La conversión de Chiripa;Alas, Leopoldo (Clarín);1896;101,201816; 2962;0,3862255
La yernocracia;Alas, Leopoldo (Clarín);1704; 83,983268; 1736;0,4210829
Tirso de Molina;Alas, Leopoldo (Clarín);NA; 25,000000;   25;1,0000000
Un voto;Alas, Leopoldo (Clarín);1901; 95,996541; 2856;0,3946078
El fantasma de Treviño;Aldecoa, Ignacio;1950;100,542889; 1115;0,5076233
El loro antillano;Aldecoa, Ignacio;1950;102,065505; 1794;0,4537347
Epitafio de un boxeador;Aldecoa, Ignacio;NA; 17,500000;   25;0,8800000
Hasta que lleguen las doce;Aldecoa, Ignacio;NA; 18,000000;   18;1,0000000
La despedida;Aldecoa, Ignacio;NA; 89,747796; 1680;0,4285714
Seguir de pobres;Aldecoa, Ignacio;1953;106,974432; 2656;0,4021084
Un cuento de reyes;Aldecoa, Ignacio;NA;  5,000000;    5;1,0000000
Un hombrecillo que nació para actor;Aldecoa, Ignacio;NA;  9,582888;   16;0,8125000
De cómo repartió el diablo los males por el mundo;Alegría, Ciro;NA; 62,695649;  582;0,4329897
El barco fantasma;Alegría, Ciro;NA;105,795739;  607;0,5502471
El puma de sombra;Alegría, Ciro;NA; 72,464703;  515;0,4407767
La sirena del bosque;Alegría, Ciro;NA; 89,500000;  358;0,5726257
Muerte del cabo Cheo López;Alegría, Ciro;1963;103,985510;  747;0,4765730
Navidad en los Andes;Alegría, Ciro;1968;153,526213; 1833;0,4980906
Panki y el guerrero;Alegría, Ciro;1968;128,891248;  882;0,5215420
1833-1883;Alonso, Manuel A.;1883; 97,462994; 1968;0,4354675
Agapito Avellaneda;Alonso, Manuel A.;1849;110,094844; 1575;0,4361905
El jíbaro en la capital;Alonso, Manuel A.;1849;102,525815; 1754;0,4310148
El pájaro malo;Alonso, Manuel A.;1849;106,623267; 2296;0,3915505
El sueño de mi compadre;Alonso, Manuel A.;NA;106,943938; 1907;0,4263241
La gallera;Alonso, Manuel A.;1849;101,231490; 2204;0,4051724
La linterna mágica;Alonso, Manuel A.;1849;100,463574; 1241;0,4689766
La negrita y la vaquita;Alonso, Manuel A.;NA;107,800000; 1617;0,4495980
