Autor;País;Nacimiento;Defunción
Afanasiev, Aleksandr Nikoalevich;Rusia;1826;1871
Akutagawa, Ryunosuke;Japón;1892;1927
Alarcón, Pedro Antonio de;España;1833;1891
Alas, Leopoldo (Clarín);España;1852;1901
Aldecoa, Ignacio;España;1925;1969
Alegría, Ciro;Perú;1909;1967
Alonso, Manuel A.;Puerto Rico;1822;1889
Amicis, Edmundo de;Italia;1846;1908
Andersen, Hans Christian;Dinamarca;1805;1875
Anderson, Sherwood;Estados Unidos;1876;1941
Anderson Imbert, Enrique;Argentina;1910;2000
Andrade, Mario de;Brasil;1893;1945
Andréiev, Leónidas;Rusia;1871;1919
Apollinaire, Guillaume;Francés;1880;1918
Arenal, Humberto;Cuba;1926;2012
Arévalo Martínez, Rafael;Guatemala;1884;1975
Arguedas, José María;Perú;1911;1969
Arlt, Roberto;Argentina;1900;1942
Arredondo, Inés;México;1928;1989
Arreola, Juan José;México;1918;2001
Asimov, Isaac;Estadounidense;1920;1992
Asturias, Miguel Ángel;Guatemala;1899;1974
Aub, Max;Español/México;1903;1972
Axelos, Costas;Grecia;1924;2010
Ayala, Francisco;España;1906;2009
Babel, Isaac;Rusia;1894;1940
Balzac, Honoré de;Francia;1799;1850
Bareiro Saguier, Rubén;Paraguay;1930;2014
Baroja, Pío;España;1872;1956
Barreto, Héctor;Chile;1916;1936
Bécquer, Gustavo Adolfo;España;1836;1870
Belaval, Emilio S.;Puerto Rico;1903;1972
Benavente, Jacinto;España;1866;1954
Benedetti, Mario;Uruguay;1920;2009
Bierce, Ambrose;Estados Unidos;1842;1914
Bioy Casares, Adolfo;Argentina;1914;1999
Blackwood, Algernon;Inglaterra;1869;1951
Blanco, Andrés Eloy;Venezuela;1896;1955
Blasco Ibáñez, Vicente;España;1867;1928
Bloch, Robert;Estados Unidos;1917;1994
Boccaccio, Giovanni;Italia;1313;1375
Böll, Heinrich;Alemania;1917;1985
Bombal, María Luisa;Chile;1910;1980
Borges, Jorge Luis;Argentina;1899;1986
Bosch, Juan;República Dominicana;1909;2001
Bradbury, Ray;Estados Unidos;1920;2012
Brecht, Bertolt;Alemania;1898;1956
Brennan, Joseph Payne;Estados Unidos;1918;1990
Brown, Fredric;Estados Unidos;1906;1972
Bukowski, Charles;Estados Unidos;1920;1994
Bulgákov, Mijaíl;Rusia;1891;1940
Buzzati, Dino;Italia;1906;1972
Caballero, Fernán;España;1796;1877
Cáceres Lara, Víctor;Honduras;1915;1993
Calvino, Italo;Italia;1923;1985
Camacho, Juan Vicente;Venezuela;1829;1872
Capote, Truman;Estados Unidos;1924;1984
Carpentier, Alejo;Cuba;1904;1980
Carrasquilla, Tomás;Colombia;1858;1940
Carrington, Leonora;México;1917;2011
Carroll, Lewis;Inglaterra;1832;1898
Cela, Camilo José;España;1916;2002
Cernuda, Luis;España;1902;1963
Cervantes, Miguel de;España;1547;1616
Chacel, Rosa;España;1898;1994
Chaucer, Geoffrey;Inglaterra;1340;1400
Cheever, John;Estados Unidos;1912;1982
Chejov, Anton;Rusia;1860;1904
Chesterton, G.K.;Inglaterra;1874;1936
Christie, Agatha;Inglaterra;1890;1976
Clarke, Arthur C.;Inglaterra;1917;2008
Colette;Francia;1873;1954
Coll, Pedro Emilio;Venezuela;1872;1947
Coloane, Francisco;Chile;1910;2002
Congrains Martín, Enrique;Perú;1932;2009
Conti, Haroldo;Argentina;1925;1976
Cortázar, Julio;Argentina;1914;1984
Crowe, Catherine;Inglaterra;1790;1872
d'Halmar, Augusto;Chile;1882;1950
Dabove, Santiago;Argentina;1889;1951
